model,dataset,id,question,gold_answer,open_answer,assistive_answer,open_correct,assistive_correct,assistive_intermediate_questions,assistive_intermediate_answers,assistive_dsl,assistive_raw_response,open_raw_response
google-gemini-2-5-pro,hotpotqa,5ab91bc0554299753720f6fc,"When did a paramilitary offshoot of the IRA start carrying ut bombings, after splitting from the Real IRA?",2009,2009-11-20,2010,1,0,"[""What paramilitary group split from the Real IRA?"", ""When did {answer_1} start carrying out bombings?""]","{""answer_1"": ""\u00d3glaigh na h\u00c9ireann"", ""answer_2"": ""2010""}","answer_1: str = qa_model(""What paramilitary group split from the Real IRA?"")
answer_2: str = qa_model(""When did {answer_1} start carrying out bombings?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Óglaigh na hÉireann"",
  ""answer_2"": ""2010""
}
```",2009-11-20
google-gemini-2-5-pro,hotpotqa,5abe249155429976d4830a7e, Ida Roland was born in a municipality  that lies on the shores of which lake ?,Lake Geneva,Lake Geneva,Alte Donau,1,0,"[""Where was Ida Roland born?"", ""Which lake lies on the shores of {answer_1}?""]","{""answer_1"": ""Vienna"", ""answer_2"": ""Alte Donau""}","answer_1: str = qa_model(""Where was Ida Roland born?"")
answer_2: str = qa_model(""Which lake lies on the shores of {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Vienna"",
  ""answer_2"": ""Alte Donau""
}
```",Lake Geneva
google-gemini-2-5-pro,hotpotqa,5ac3711f5542995ef918c18e,Where did a French film director direct a 2005 British-French martial arts action thriller starring Jet Li?,Glasgow,Glasgow,United Kingdom; France,1,0,"[""What is the 2005 British-French martial arts action thriller film starring Jet Li?"", ""Who directed '{answer_1}'?"", ""Where did {answer_2} direct '{answer_1}'?""]","{""answer_1"": ""Unleashed"", ""answer_2"": ""Louis Leterrier"", ""answer_3"": ""United Kingdom; France""}","answer_1: str = qa_model(""What is the 2005 British-French martial arts action thriller film starring Jet Li?"")
answer_2: str = qa_model(""Who directed '{answer_1}'?"", answer_1=answer_1)
answer_3: str = qa_model(""Where did {answer_2} direct '{answer_1}'?"", answer_1=answer_1, answer_2=answer_2)","```json
{
  ""answer_1"": ""Unleashed"",
  ""answer_2"": ""Louis Leterrier"",
  ""answer_3"": ""United Kingdom; France""
}
```",Glasgow
google-gemini-2-5-pro,hotpotqa,5a76059155429976ec32bce6,"What shopping mall is the largest in south Texas, Malle del Norte or La Plaza Mall?",La Plaza Mall,La Plaza Mall,Mall del Norte,1,0,"[""What is the size of Mall del Norte?"", ""What is the size of La Plaza Mall?"", ""Which is larger, Mall del Norte at {answer_1} or La Plaza Mall at {answer_2}?""]","{""answer_1"": ""1,212,515 sq ft"", ""answer_2"": ""1,200,000 sq ft"", ""answer_3"": ""Mall del Norte""}","answer_1: str = qa_model(""What is the size of Mall del Norte?"")
answer_2: str = qa_model(""What is the size of La Plaza Mall?"")
answer_3: str = qa_model(""Which is larger, Mall del Norte at {answer_1} or La Plaza Mall at {answer_2}?"", answer_1=answer_1, answer_2=answer_2)","```json
{
  ""answer_1"": ""1,212,515 sq ft"",
  ""answer_2"": ""1,200,000 sq ft"",
  ""answer_3"": ""Mall del Norte""
}
```","answer:
La Plaza Mall"
google-gemini-2-5-pro,hotpotqa,5ab2c2e6554299545a2cfa62,"Which star of ""Not Like Everyone Else"" was also in ""Drunk History""?",Alia Shawkat,Alia Shawkat,Alia Shawkat; Illeana Douglas,1,0,"[""Who are the stars of 'Not Like Everyone Else'?"", ""Which of the actors from {answer_1} was also in 'Drunk History'?""]","{""answer_1"": ""Alia Shawkat; Illeana Douglas"", ""answer_2"": ""Alia Shawkat; Illeana Douglas""}","answer_1: str = qa_model(""Who are the stars of 'Not Like Everyone Else'?"")
answer_2: str = qa_model(""Which of the actors from {answer_1} was also in 'Drunk History'?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Alia Shawkat; Illeana Douglas"",
  ""answer_2"": ""Alia Shawkat; Illeana Douglas""
}
```",Alia Shawkat
google-gemini-2-5-pro,hotpotqa,5ab433675542991751b4d6e6,Where does Lance Stephenson of the Indiana Pacers basketball team play his home games?,Bankers Life Fieldhouse,Bankers Life Fieldhouse,Liaoning Gymnasium,1,0,"[""What basketball team does Lance Stephenson play for?"", ""Where does the {answer_1} play their home games?""]","{""answer_1"": ""Liaoning Flying Leopards"", ""answer_2"": ""Liaoning Gymnasium""}","answer_1: str = qa_model(""What basketball team does Lance Stephenson play for?"")
answer_2: str = qa_model(""Where does the {answer_1} play their home games?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Liaoning Flying Leopards"",
  ""answer_2"": ""Liaoning Gymnasium""
}
```","answer:
Bankers Life Fieldhouse"
google-gemini-2-5-pro,hotpotqa,5abd40585542993062266c3e,West Ridge and the ridge that has IndependenceAvenue/Liberation Avenue as its eastern boundary are separated by what road? ,Castle Road,Castle Road,Independence Avenue,1,0,"[""Which ridge has Independence Avenue/Liberation Avenue as its eastern boundary?"", ""What road separates West Ridge and {answer_1}?""]","{""answer_1"": ""West Ridge"", ""answer_2"": ""Independence Avenue""}","answer_1: str = qa_model(""Which ridge has Independence Avenue/Liberation Avenue as its eastern boundary?"")
answer_2: str = qa_model(""What road separates West Ridge and {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""West Ridge"",
  ""answer_2"": ""Independence Avenue""
}
```",Castle Road
google-gemini-2-5-pro,hotpotqa,5abd90545542996e802b47d7,"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",Jaime Meline,El-P,Cage,1,0,"[""Who made guest appearances on the album 'Fast Cars, Danger, Fire and Knives'?"", ""Which of the following is a hip hop record executive: {answer_1}?""]","{""answer_1"": ""Camu Tao; Cage"", ""answer_2"": ""Cage""}","answer_1: str = qa_model(""Who made guest appearances on the album 'Fast Cars, Danger, Fire and Knives'?"")
answer_2: str = qa_model(""Which of the following is a hip hop record executive: {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Camu Tao; Cage"",
  ""answer_2"": ""Cage""
}
```",El-P
google-gemini-2-5-pro,hotpotqa,5ac5247c55429924173fb602,"""Apocalypic"" is a song sung by Lizzy Hale from which group? ",Halestorm,Halestorm,Cigarettes After Sex,1,0,"[""Who sings the song 'Apocalypic'?"", ""What group is {answer_1} from?""]","{""answer_1"": ""Cigarettes After Sex"", ""answer_2"": ""Cigarettes After Sex""}","answer_1: str = qa_model(""Who sings the song 'Apocalypic'?"")
answer_2: str = qa_model(""What group is {answer_1} from?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Cigarettes After Sex"",
  ""answer_2"": ""Cigarettes After Sex""
}
```",Halestorm
google-gemini-2-5-pro,hotpotqa,5ade8f5e55429975fa854f11,"What is the name of the movie in which Edwin Brown plays a man that executed at least 400 people, including William Joyce and John Amery?",10 Rillington Place,10 Rillington Place,Let Him Have It,1,0,"[""Who executed William Joyce and John Amery?"", ""In which movie did Edwin Brown play {answer_1}?""]","{""answer_1"": ""Albert Pierrepoint"", ""answer_2"": ""Let Him Have It""}","answer_1: str = qa_model(""Who executed William Joyce and John Amery?"")
answer_2: str = qa_model(""In which movie did Edwin Brown play {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Albert Pierrepoint"",
  ""answer_2"": ""Let Him Have It""
}
```","answer:
10 Rillington Place"
google-gemini-2-5-pro,hotpotqa,5ae2a123554299495565daed,What is the focus of the technique which developed on the technique named after Frederich Matthias Alexander,body mechanics in a state of motion,Use of the self,The evolutionary development of human movement,1,0,"[""What technique is named after Frederich Matthias Alexander?"", ""What technique developed on {answer_1}?"", ""What is the focus of {answer_2}?""]","{""answer_1"": ""Alexander Technique"", ""answer_2"": ""Dart Procedures"", ""answer_3"": ""The evolutionary development of human movement""}","answer_1: str = qa_model(""What technique is named after Frederich Matthias Alexander?"")
answer_2: str = qa_model(""What technique developed on {answer_1}?"", answer_1=answer_1)
answer_3: str = qa_model(""What is the focus of {answer_2}?"", answer_2=answer_2)","```json
{
  ""answer_1"": ""Alexander Technique"",
  ""answer_2"": ""Dart Procedures"",
  ""answer_3"": ""The evolutionary development of human movement""
}
```",Use of the self
google-gemini-2-5-pro,hotpotqa,5ae78ec5554299540e5a5605,Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,Ulster County,Ulster County,Rockland County,1,0,"[""In which village was the album 'Guitars for Wounded Warriors' recorded?"", ""In which New York county is {answer_1} located?""]","{""answer_1"": ""Piermont"", ""answer_2"": ""Rockland County""}","answer_1: str = qa_model(""In which village was the album 'Guitars for Wounded Warriors' recorded?"")
answer_2: str = qa_model(""In which New York county is {answer_1} located?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Piermont"",
  ""answer_2"": ""Rockland County""
}
```",Ulster County
google-gemini-2-5-pro,hotpotqa,5abffc58554299012d1db552,Which American college that has sent students to Centre for Medieval and Renaissance Studies was founded in 1874?,St. Olaf College,St. Olaf College; Macalester College,St. Olaf College; Macalester College; Colorado College,1,,"[""Which American colleges have sent students to the Centre for Medieval and Renaissance Studies?"", ""Which of these colleges was founded in 1874: {answer_1}?""]","{""answer_1"": ""St. Olaf College; Carleton College; Macalester College; Colorado College"", ""answer_2"": ""St. Olaf College; Macalester College; Colorado College""}","answer_1: str = qa_model(""Which American colleges have sent students to the Centre for Medieval and Renaissance Studies?"")
answer_2: str = qa_model(""Which of these colleges was founded in 1874: {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""St. Olaf College; Carleton College; Macalester College; Colorado College"",
  ""answer_2"": ""St. Olaf College; Macalester College; Colorado College""
}
```",St. Olaf College; Macalester College
google-gemini-2-5-pro,hotpotqa,5add3b665542997545bbbcd2,The Boren-McCurdy proposals were partially brought about by which Oklahoma politician in 1992?,David Lyle Boren,David Boren; Dave McCurdy,David Boren; Dave McCurdy,1,0,"[""Who were the Boren-McCurdy proposals named after?"", ""Which of {answer_1} was an Oklahoma politician in 1992?""]","{""answer_1"": ""David Boren; Dave McCurdy"", ""answer_2"": ""David Boren; Dave McCurdy""}","answer_1: str = qa_model(""Who were the Boren-McCurdy proposals named after?"")
answer_2: str = qa_model(""Which of {answer_1} was an Oklahoma politician in 1992?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""David Boren; Dave McCurdy"",
  ""answer_2"": ""David Boren; Dave McCurdy""
}
```","answer:
David Boren; Dave McCurdy"
google-gemini-2-5-pro,mintaka,4ded8418,What's the tallest building in the state where Yosemite National Park is located?,Wilshire Grand Center,Wilshire Grand Center,Salesforce Tower,1,0,[],"{""answer_1"": ""California"", ""answer_2"": ""Salesforce Tower""}","answer_1: str = qa_model(""In which state is Yosemite National Park located?"")
answer_2: str = qa_model(""What is the tallest building in {answer_1}?"", answer_1=answer_1)","intermediate_answers:
{
  ""answer_1"": ""California"",
  ""answer_2"": ""Salesforce Tower""
}",Wilshire Grand Center
google-gemini-2-5-pro,mintaka,e6fb1f57,Who was the 40th US president's VP?,George H. W. Bush,George H. W. Bush,George H. W. Bush,1,0,[],"{""answer_1"": ""Ronald Reagan"", ""answer_2"": ""George H. W. Bush""}","answer_1: str = qa_model(""Who was the 40th US president?"")
answer_2: str = qa_model(""Who was the Vice President for {answer_1}?"", answer_1=answer_1)","intermediate_answers:
{
  ""answer_1"": ""Ronald Reagan"",
  ""answer_2"": ""George H. W. Bush""
}","answer:
George H. W. Bush"
google-gemini-2-5-pro,mintaka,15e40e97,What was the name of the intern the 35th president had an affair with?,Marion Fay Alford,Mimi Alford,Mimi Alford,1,0,[],"{""answer_1"": ""John F. Kennedy"", ""answer_2"": ""Mimi Alford""}","answer_1: str = qa_model(""Who was the 35th president of the United States?"")
answer_2: str = qa_model(""What was the name of the intern that {answer_1} had an affair with?"", answer_1=answer_1)","intermediate_answers:
{
  ""answer_1"": ""John F. Kennedy"",
  ""answer_2"": ""Mimi Alford""
}",Mimi Alford
google-gemini-2-5-pro,mintaka,1e751cb7,How old is the current manager for the Detroit Tigers?,47,48,,1,-1,[],{},"answer_1: str = qa_model(""Who is the current manager for the Detroit Tigers?"")
answer_2: str = qa_model(""How old is {answer_1}?"", answer_1=answer_1)","```json
{
  ""intermediate_answers"": {
    ""answer_",48
google-gemini-2-5-pro,mintaka,447e31d9,Who was the first wife of Queen Elizabeth II's eldest son?,Diana Spencer,"Diana, Princess of Wales","Diana, Princess of Wales",1,0,[],"{""answer_1"": ""Charles III"", ""answer_2"": ""Diana, Princess of Wales""}","answer_1: str = qa_model(""Who is the eldest son of Queen Elizabeth II?"")
answer_2: str = qa_model(""Who was the first wife of {answer_1}?"", answer_1=answer_1)","intermediate_answers:
{
  ""answer_1"": ""Charles III"",
  ""answer_2"": ""Diana, Princess of Wales""
}","Diana, Princess of Wales"
google-gemini-2-5-pro,mintaka,48e38631,How many actors played Sonny in Big Daddy?,2,2,,1,0,[],{},"answer_1: str = qa_model(""Who played the character Sonny in the movie Big Daddy?"")
answer_2: str = qa_model(""How many actors are in the group '{answer_1}'?"", answer_1=answer_1)","```json
""intermediate_answers"": {
  ""answer_1"": ""Adam Sandler"",",2
google-gemini-2-5-pro,mintaka,817374ba,Who was a relative of the second president who also became a president?,John Quincy Adams,John Quincy Adams,John Quincy Adams,1,0,[],"{""answer_1"": ""John Adams"", ""answer_2"": ""John Quincy Adams""}","answer_1: str = qa_model(""Who was the second president of the United States?"")
answer_2: str = qa_model(""Which relative of {answer_1} also became a president?"", answer_1=answer_1)","intermediate_answers:
{
  ""answer_1"": ""John Adams"",
  ""answer_2"": ""John Quincy Adams""
}","answer:
John Quincy Adams"
google-gemini-2-5-pro,mintaka,19c7c396,Who was MLB Commissioner during World Series of 1984?,Peter Ueberroth,Peter Ueberroth,Bowie Kuhn,1,0,"[""What organization oversees the World Series?"", ""Who was the commissioner of {answer_1} in 1984?""]","{""answer_1"": ""Major League Baseball"", ""answer_2"": ""Bowie Kuhn""}","answer_1: str = qa_model(""What organization oversees the World Series?"")
answer_2: str = qa_model(""Who was the commissioner of {answer_1} in 1984?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Major League Baseball"",
  ""answer_2"": ""Bowie Kuhn""
}
```","answer:
Peter Ueberroth"
google-gemini-2-5-pro,mintaka,70ab78eb,How long was the oldest American president in office for?,he is presently in office for a 4 year term,4 years,"1 year, 257 days",1,0,"[""Who is the oldest American president?"", ""How long was {answer_1} in office?""]","{""answer_1"": ""Joe Biden"", ""answer_2"": ""1 year, 257 days""}","answer_1: str = qa_model(""Who is the oldest American president?"")
answer_2: str = qa_model(""How long was {answer_1} in office?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Joe Biden"",
  ""answer_2"": ""1 year, 257 days""
}
```",4 years
google-gemini-2-5-pro,mintaka,95dc97dc,Who distributed the movie that's based on the Harry Potter book released in 2004?,Warner Bros. Pictures,Warner Bros. Pictures,None,1,-1,"[""Which Harry Potter book was released in 2004?"", ""What is the title of the film based on '{answer_1}'?"", ""Who distributed the film '{answer_2}'?""]","{""answer_1"": ""No Harry Potter book was released in 2004"", ""answer_2"": ""None"", ""answer_3"": ""None""}","answer_1: str = qa_model(""Which Harry Potter book was released in 2004?"")
answer_2: str = qa_model(""What is the title of the film based on '{answer_1}'?"", answer_1=answer_1)
answer_3: str = qa_model(""Who distributed the film '{answer_2}'?"", answer_2=answer_2)","```json
{
  ""answer_1"": ""No Harry Potter book was released in 2004"",
  ""answer_2"": ""None"",
  ""answer_3"": ""None""
}
```",Warner Bros. Pictures
google-gemini-2-5-pro,mintaka,9d2a6039,How old is the current manager of Real Madrid?,62,63,"{'answer_1': 'Carlo Ancelotti', 'answer_2': '63'}",1,0,"[""Who is the current manager of Real Madrid?"", ""How old is {answer_1}?""]","{""intermediate_answers"": {""answer_1"": ""Carlo Ancelotti"", ""answer_2"": ""63""}}","answer_1: str = qa_model(""Who is the current manager of Real Madrid?"")
answer_2: str = qa_model(""How old is {answer_1}?"", answer_1=answer_1)","```json
{
  ""intermediate_answers"": {
    ""answer_1"": ""Carlo Ancelotti"",
    ""answer_2"": ""63""
  }
}
```",63
google-gemini-2-5-pro,mintaka,afc20de1,How long did the longest serving senator in Massachusetts history serve in the Senate?,46 years,"46 years, 291 days",Nearly 47 years,1,0,"[""Who was the longest serving senator in Massachusetts history?"", ""How long did {answer_1} serve in the Senate?""]","{""answer_1"": ""Ted Kennedy"", ""answer_2"": ""Nearly 47 years""}","answer_1: str = qa_model(""Who was the longest serving senator in Massachusetts history?"")
answer_2: str = qa_model(""How long did {answer_1} serve in the Senate?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Ted Kennedy"",
  ""answer_2"": ""Nearly 47 years""
}
```","46 years, 291 days"
