dataset	model_slug	id	time_sensitive_hint	open_assistive_exact_match	question	gold_answer	open_answer	assistive_answer	open_correctness_reasoning	consistency_equivalent	consistency_reasoning	consistency_raw	open_raw	assistive_raw	manual_label	manual_notes
crag	google-gemini-2-5-pro	7218f2f9-fc44-4ead-bf4d-00acc20aa5d6	0	1	what is the revenue of frito-lay's parent company?	$91.47 billion	$79.47 billion	$79.47 billion	The gold revenue is $91.47 billion and the prediction is $79.47 billion. The absolute difference is $12 billion, which is approximately 13.12% of the gold value. This falls outside the allowed 1-5.5 percentage-point window for naturally drifting values like revenue, making the prediction incorrect.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	$79.47 billion	"```json\n{\n  ""answer_1"": ""PepsiCo"",\n  ""answer_2"": ""$79.47 billion""\n}\n```"	possible_gold_error_or_ambiguity	Frontier open-ended answers agree (2/3) on '$79.47 billion' vs gold; could be gold error/ambiguity or shared model misconception.
hotpotqa	google-gemini-2-5-pro	5ac2423755429951e9e684ff	0	0	According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?	722,664	531,340	534,265	The prediction (531,340) is a numerical value representing a census count. The gold answer is 722,664. The percentage difference between the two values is approximately 26.47% (calculated as |722,664 - 531,340| / 722,664 * 100%). This difference exceeds the allowed 5.5 percentage-point window for naturally drifting values like census counts, making the prediction incorrect.	1	The percentage difference between the two population figures (0.547%) is within the 5.5% tolerance allowed for values that naturally drift over time (like census counts) as per Rule 2.	equivalent: 1\nreasoning: The percentage difference between the two population figures (0.547%) is within the 5.5% tolerance allowed for values that naturally drift over time (like census counts) as per Rule 2.	531,340	"```json\n{\n  ""answer_1"": ""Aba"",\n  ""answer_2"": ""534,265""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
mintaka	google-gemini-2-5-pro	88c5cc4f	1	1	How old is the current manager of Barcelona FC?	58	42	42	The prediction '42' is numerically different from the gold '58'. The absolute difference (16) and percentage difference (27.58%) are well outside the allowed tolerance of max(0.5, 1% of 58 = 0.58).	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	42	"```json\n{\n  ""answer_1"": ""Xavi Hernández"",\n  ""answer_2"": ""42""\n}\n```"	time_dependent	Barcelona’s manager and their age changes over time. Models answer 42 (consistent with Xavi’s age at some snapshot), while gold gives 58 (different coach or different snapshot).
crag	google-gemini-2-5-pro	fde0f884-56cb-47c6-a15a-056eb02cfa4b	0	1	when did drake release their most popular album?	drake's most popular album, take care, released in 2011.	2016-04-29	2016-04-29	The gold answer states the album was released in 2011, while the prediction states 2016, which is a direct contradiction regarding the year of release.	1	Both answers provide the exact same date.	equivalent: 1\nreasoning: Both answers provide the exact same date.	2016-04-29	"```json\n{\n  ""answer_1"": ""Views"",\n  ""answer_2"": ""2016-04-29""\n}\n```"	ambiguous_definition(popularity)	'Most popular album' is subjective (streams vs sales vs critical). Gold picks Take Care (2011) while models pick Views (2016). Both can be defended under different metrics.
hotpotqa	google-gemini-2-5-pro	5ab7ecea55429928e1fe3938	0	1	This American actress, singer, and songwriters film roles include a road-comedy-adventure film released by who?	Walt Disney Pictures	Paramount Pictures	Paramount Pictures	The prediction 'Paramount Pictures' directly contradicts the gold answer 'Walt Disney Pictures' as they are different film studios.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Paramount Pictures	"```json\n{\n  ""answer_1"": ""Britney Spears"",\n  ""answer_2"": ""Crossroads"",\n  ""answer_3"": ""Paramount Pictures""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
mintaka	google-gemini-2-5-pro	2652ec2b	0	1	Which award did the first puzzle game by Fireproof Games win at the British Academy Video Games Awards?	British Academy Games Award for Best Game	British Game	British Game	The prediction 'British Game' is an incomplete and overly generic answer compared to the gold 'British Academy Games Award for Best Game'. It omits the crucial 'Academy Games Award for Best' part, which specifies the nature of the award.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nBritish Game	"```json\n{\n  ""answer_1"": ""The Room"",\n  ""answer_2"": ""British Game""\n}\n```"	possible_gold_error_or_ambiguity	Frontier open-ended answers agree (2/3) on 'British Game' vs gold; could be gold error/ambiguity or shared model misconception.
crag	google-gemini-2-5-pro	bd5325a3-6ba0-4088-a1a2-4a80ce096335	1	1	who was the goalkeeper of the team that won the fifa world cup last year?	martinez, who plays for argentina, was the goalkeeper of the team that won the fifa world cup last year.	Hugo Lloris	Hugo Lloris	The gold answer identifies 'Martinez' (Emiliano Martínez) as the goalkeeper, while the prediction states 'Hugo Lloris'. These are different individuals, and Hugo Lloris was the goalkeeper for the *runner-up* team (France), not the winning team (Argentina). Therefore, the prediction contradicts the gold fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nHugo Lloris	"```json\n{\n  ""intermediate_answers"": {\n    ""answer_1"": ""France"",\n    ""answer_2"": ""Hugo Lloris""\n  }\n}\n```"	time_dependent	Time-relative phrasing ('last year'); gold likely tied to a specific snapshot.
hotpotqa	google-gemini-2-5-pro	5a874fd15542996432c57260	0	1	What was the film debut of the actress who starred in Pandemonium?	Divorce American Style	Carnal Knowledge	Carnal Knowledge	The prediction 'Carnal Knowledge' contradicts the gold answer 'Divorce American Style' regarding the film debut.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Carnal Knowledge	"```json\n{\n  ""answer_1"": ""Carol Kane"",\n  ""answer_2"": ""Carnal Knowledge""\n}\n```"	likely_gold_error	All frontier models answer Carnal Knowledge while gold gives Divorce American Style; likely a gold mistake for the actress’s film debut (verify the actress in Pandemonium).
mintaka	google-gemini-2-5-pro	aa423d1a	0	1	When was the oldest parliament in world history established?	930 BC	930	930	The gold answer specifies '930 BC', while the prediction only states '930'. For calendar dates and years, an exact match is required, and the 'BC' designation is a critical part of the date.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	930	"intermediate_answers:\n{\n  ""answer_1"": ""Althing"",\n  ""answer_2"": ""930""\n}"	likely_gold_error(BC_vs_AD)	The value '930' likely refers to 930 AD (e.g., Althing), while gold says 930 BC. This looks like a BC/AD labeling error.
crag	google-gemini-2-5-pro	c47ece5d-49ba-4ee2-ba5e-cfee323dbec0	0	1	who was the first actor to play the role of a comic book hero in a live-action movie?	warren hall was the first actor to play the role of a superhero in a live-action movie, in his iconic portrayal of mandrake the magician in 1939, directed by norman deming and sam nelson.	Tom Tyler	Tom Tyler	The gold answer identifies 'Warren Hall' as the first actor, while the prediction states 'Tom Tyler'. These are different names, leading to a contradiction on the core fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nTom Tyler	"```json\n{\n  ""answer_1"": ""Adventures of Captain Marvel"",\n  ""answer_2"": ""Tom Tyler""\n}\n```"	ambiguous_definition(comic_book_vs_comic_strip)	Gold cites a comic-strip character (Mandrake, 1939) while models cite Tom Tyler (comic-book superhero serial). Depends on whether 'comic book hero' includes comic strips / superheroes only.
hotpotqa	google-gemini-2-5-pro	5a812fce55429926c1cdad02	0	0	The first person to interpret Relational quantum mechanics has worked in what countries? 	Italy, the United States and since 2000, in France	Italy; USA; France; Canada	Italy; United States; France	The prediction includes 'Canada' which is not present in the gold answer, thus adding an incorrect country to the list and contradicting the gold's implied completeness.	1	"Answer A is a subset of Answer B, and there is no contradiction. ""United States"" and ""USA"" are equivalent."	"equivalent: 1\nreasoning: Answer A is a subset of Answer B, and there is no contradiction. ""United States"" and ""USA"" are equivalent."	Italy; USA; France; Canada	"```json\n{\n  ""answer_1"": ""Carlo Rovelli"",\n  ""answer_2"": ""Italy; United States; France""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
mintaka	google-gemini-2-5-pro	852d9a1a	0	0	"How tall is the singer of ""Ridin Dirty""?"	"5'10"""	"6' 0"""	6 ft 2 in	"The gold answer is 5'10"" (70 inches) and the prediction is 6'0"" (72 inches). The absolute difference is 2 inches. The allowed tolerance is max(0.5, 1% of 70 inches) = max(0.5, 0.7) = 0.7 inches. Since 2 inches is greater than 0.7 inches, the prediction is outside the acceptable numeric tolerance."	1	Feet–inches notation normalization; same height.	equivalent: 1\nreasoning: Feet–inches notation normalization; same height.	"6' 0"""	"intermediate_answers:\n{\n  ""answer_1"": ""Chamillionaire"",\n  ""answer_2"": ""6 ft 2 in""\n}"	possible_gold_typo_or_alias	"Open answer '6' 0""' is very close to gold '5'10""' (edit-distance 2); likely typo/alias/normalization issue."
crag	google-gemini-2-5-pro	27f2284d-0d87-46c6-a0a1-e46135a3fc67	0	1	when did the most expensive action movie come out?	the most expensive action movie ever produced, star wars: the force awakens, came out in 2015.	2011-05-20	2011-05-20	The gold answer states the movie came out in 2015, while the prediction gives 2011-05-20. The years do not match, and calendar dates/years must match exactly.	1	Both answers provide the exact same calendar date.	equivalent: 1\nreasoning: Both answers provide the exact same calendar date.	answer:\n2011-05-20	"```json\n{\n  ""answer_1"": ""Pirates of the Caribbean: On Stranger Tides"",\n  ""answer_2"": ""2011-05-20""\n}\n```"	ambiguous_definition	'Most expensive action movie' varies by list (budget accounting, genre). Models converge on a May 2011 release date (likely a specific blockbuster), while gold names a different film/year.
hotpotqa	google-gemini-2-5-pro	5addc8765542997dc7907022	0	1	The plaintiff in the civil suit Paul v. Clinton was born in which year ?	1948	1966	1966	The gold answer states the birth year is 1948, while the prediction states 1966. These are different years and for calendar dates/years, an exact match is required, leading to a contradiction.	1	Both answers state the same year.	equivalent: 1\nreasoning: Both answers state the same year.	answer:\n1966	"```json\n{\n  ""answer_1"": ""Paula Jones"",\n  ""answer_2"": ""1966""\n}\n```"	possible_gold_error_or_ambiguity	Frontier open-ended answers agree (2/3) on '1966' vs gold; could be gold error/ambiguity or shared model misconception.
mintaka	google-gemini-2-5-pro	aad2514e	1	1	How many children does the current manager of the Los Angeles Lakers have?	2	3	3	The gold answer is '2' and the prediction is '3'. The absolute difference is 1, which exceeds the allowed numerical tolerance of max(0.5, 1% of 2) = 0.5. Therefore, the prediction contradicts the gold fact.	1	Both answers state the same number.	equivalent: 1\nreasoning: Both answers state the same number.	3	"```json\n{\n  ""answer_1"": ""Darvin Ham"",\n  ""answer_2"": ""3""\n}\n```"	time_dependent	Time-relative phrasing ('current'); gold likely tied to a specific snapshot.
crag	google-gemini-2-5-pro	3e6f239d-0354-4867-99ef-9542db6a83c8	1	1	what team does the player who threw the most interceptions last year play for?	the player who threw the most interceptions last year, sam howell, plays for the washington commanders.	Jacksonville Jaguars; Los Angeles Rams	Jacksonville Jaguars; Los Angeles Rams	The gold answer states the player plays for the 'Washington Commanders', while the prediction lists 'Jacksonville Jaguars' and 'Los Angeles Rams'. These teams do not match the gold answer.	1	Both answers are identical lists of teams.	equivalent: 1\nreasoning: Both answers are identical lists of teams.	Jacksonville Jaguars; Los Angeles Rams	"```json\n{\n  ""intermediate_answers"": {\n    ""answer_1"": ""Trevor Lawrence; Matthew Stafford"",\n    ""answer_2"": ""Jacksonville Jaguars; Los Angeles Rams""\n  }\n}\n```"	time_dependent	'Last year' depends on the evaluation year; model answers point to a different season/player than gold.
hotpotqa	google-gemini-2-5-pro	5a72d98f5542992359bc31ac	0	1	Torrens Bridge railway station was located east of a park named after who?	Sir John Langdon Bonython	Sir Thomas Elder	Sir Thomas Elder	The prediction 'Sir Thomas Elder' contradicts the gold answer 'Sir John Langdon Bonython'. These are two distinct individuals.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Sir Thomas Elder	"```json\n{\n  ""answer_1"": ""Elder Park"",\n  ""answer_2"": ""Sir Thomas Elder""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
mintaka	google-gemini-2-5-pro	513f3181	0	1	What is the oldest monument in the capital of France?	Arenes de Lutece	Luxor Obelisk	Luxor Obelisk	The prediction 'Luxor Obelisk' names a different monument than the gold answer 'Arenes de Lutece', directly contradicting the gold fact about the oldest monument.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Luxor Obelisk	"```json\n{\n  ""answer_1"": ""Paris"",\n  ""answer_2"": ""Luxor Obelisk""\n}\n```"	possible_gold_error_or_ambiguity	Frontier open-ended answers agree (2/3) on 'Luxor Obelisk' vs gold; could be gold error/ambiguity or shared model misconception.
crag	google-gemini-2-5-pro	0531f5e7-d6ac-4c45-be32-5e530f83835b	1	1	what's the most recent album from the founder of ysl records?	business is business	Punk	Punk	The prediction 'Punk' is a different album title than the gold answer 'business is business'. There is no equivalence or normalization that makes them the same.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Punk	"```json\n{\n  ""answer_1"": ""Young Thug"",\n  ""answer_2"": ""Punk""\n}\n```"	time_dependent	Time-relative phrasing ('most recent'); gold likely tied to a specific snapshot.
hotpotqa	google-gemini-2-5-pro	5a80b23a5542992bc0c4a7b2	0	1	Ted Sutton plays Sergeant Cunningham in a2002 film that stars Mel Gibson as what character?	Graham Hess	Lt. Col. Hal Moore	Lt. Col. Hal Moore	The prediction 'Lt. Col. Hal Moore' contradicts the gold answer 'Graham Hess' regarding the character Mel Gibson played. 'Graham Hess' is the character Mel Gibson played in 'Signs' (2002), while 'Lt. Col. Hal Moore' is the character he played in 'We Were Soldiers' (2002).	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nLt. Col. Hal Moore	"```json\n{\n  ""answer_1"": ""We Were Soldiers"",\n  ""answer_2"": ""Lt. Col. Hal Moore""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
mintaka	google-gemini-2-5-pro	9d4dccb3	0	1	"Where did the rapper in the song ""I am different"" graduate college from?"	Virginia State University	Alabama State University	Alabama State University	The prediction names 'Alabama State University' which directly contradicts the gold answer 'Virginia State University'. These are distinct entities.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	Alabama State University	"intermediate_answers:\n{\n  ""answer_1"": ""2 Chainz"",\n  ""answer_2"": ""Alabama State University""\n}"	likely_gold_error	"The song ""I’m Different"" is commonly associated with 2 Chainz, who attended Alabama State University; models align on Alabama State while gold says Virginia State."
crag	google-gemini-2-5-pro	0512b2a6-b900-4454-8613-512e65b1913e	1	1	who was the top scorer in the women's world cup last year?	miyazawa hinata	Megan Rapinoe; Alex Morgan; Ellen White	Megan Rapinoe; Alex Morgan; Ellen White	The prediction lists 'Megan Rapinoe; Alex Morgan; Ellen White' as top scorers, which does not match the gold answer 'miyazawa hinata'. The gold answer is a single name, and none of the names in the prediction are equivalent to the gold answer.	1	Both answers are identical, listing the same names in the same order.	equivalent: 1\nreasoning: Both answers are identical, listing the same names in the same order.	Megan Rapinoe; Alex Morgan; Ellen White	"```json\n{\n  ""answer_1"": ""2019"",\n  ""answer_2"": ""Megan Rapinoe; Alex Morgan; Ellen White""\n}\n```"	time_dependent	Time-relative phrasing ('last year'); gold likely tied to a specific snapshot.
hotpotqa	google-gemini-2-5-pro	5ab345db55429969a97a8122	0	1	Which state does the drug stores, of which the CEO is Warren Bryant, are located?	Hawaii	California	California	The prediction 'California' directly contradicts the gold answer 'Hawaii' regarding the state where the drug stores are located.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	California	"```json\n{\n  ""answer_1"": ""Longs Drugs"",\n  ""answer_2"": ""California""\n}\n```"	unclear/needs_verification	Entity linkage ('drug stores' with CEO Warren Bryant) is unclear from the question alone; models answer California vs gold Hawaii.
mintaka	google-gemini-2-5-pro	e6f29b34	0	1	Where was the last queen of Egypt born?	Greece	Alexandria	Alexandria	The gold answer states the last queen of Egypt was born in 'Greece', while the prediction states 'Alexandria'. These are different locations, leading to a contradiction.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	answer:\nAlexandria	"intermediate_answers:\n{\n  ""answer_1"": ""Cleopatra"",\n  ""answer_2"": ""Alexandria""\n}"	likely_gold_error	Cleopatra VII is widely cited as born in Alexandria (Egypt). Gold 'Greece' appears to conflate ancestry/origin with birthplace.
crag	google-gemini-2-5-pro	41dea43b-d187-4844-b33a-a46e3879dd96	1	1	how many locations were filmed in the bourne movie released in 2004?	the bourne supremacy was shot in 4 locations moscow, russia; berlin, germany; goa, india; and new york city, new york, usa.	5	5	The gold answer explicitly states '4 locations', while the prediction states '5', which is a direct contradiction of the numerical fact.	1	Both answers state the same numerical value.	equivalent: 1\nreasoning: Both answers state the same numerical value.	5	"```json\n{\n  ""answer_1"": ""The Bourne Supremacy"",\n  ""answer_2"": ""5""\n}\n```"	possible_gold_error_or_ambiguity	Frontier open-ended answers agree (2/3) on '5' vs gold; could be gold error/ambiguity or shared model misconception.
hotpotqa	google-gemini-2-5-pro	5a846f395542990548d0b2b8	0	1	What actor portrayed a character in a television series about a fictional race of superhumans appearing in American comic books published by Marvel Comics?	"Kenneth ""Ken"" Leung"	Anson Mount	Anson Mount	"The gold answer specifies 'Kenneth ""Ken"" Leung' while the prediction provides 'Anson Mount'. These are two different actors. Although both actors portrayed characters in the Marvel series 'Inhumans' (which fits the description), the prediction does not match the specific actor provided in the gold answer."	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Anson Mount	"```json\n{\n  ""answer_1"": ""Inhumans"",\n  ""answer_2"": ""Black Bolt"",\n  ""answer_3"": ""Anson Mount""\n}\n```"	possible_gold_error_or_ambiguity	Frontier open-ended answers agree (2/3) on 'Anson Mount' vs gold; could be gold error/ambiguity or shared model misconception.
mintaka	google-gemini-2-5-pro	4b066327	0	1	How old was John Lennon when The Beatles formed?	16	19	19	The gold answer is 16, and the prediction is 19. The absolute difference is 3, which is outside the allowed numeric tolerance of max(0.5, 1% of 16 = 0.16).	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	19	"```json\n{\n  ""answer_1"": ""1960"",\n  ""answer_2"": ""19""\n}\n```"	ambiguous_event_definition	19 aligns with 1960 (Beatles formation era) given Lennon’s 1940 birth. Gold 16 may instead correspond to the Quarrymen/earlier pre-Beatles formation.
crag	google-gemini-2-5-pro	5a55dd6b-371b-4daa-a2a2-7df503885d21	1	1	how far did last year's west coast conference champion go in the postseason?	gonzaga, last year's west coast conference champion, made it to the elite 8 in the ncaa tournament.	Sweet Sixteen	Sweet Sixteen	The gold answer states the team made it to the 'Elite 8', while the prediction states 'Sweet Sixteen'. These are different stages in a tournament, making the prediction a contradiction of the gold fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Sweet Sixteen	"```json\n{\n  ""intermediate_answers"": {\n    ""answer_1"": ""Gonzaga Bulldogs"",\n    ""answer_2"": ""Sweet Sixteen""\n  }\n}\n```"	time_dependent	Conference champions and tournament exits vary by year. 'Last year' makes this unstable; gold and models reflect different seasons.
hotpotqa	google-gemini-2-5-pro	5a74a3bd55429979e28829da	0	1	Who invented the type of script used in autographs?	the Sumerians	Niccolò de' Niccoli	Niccolò de' Niccoli	The gold answer states 'the Sumerians' invented the script, while the prediction states 'Niccolò de' Niccoli'. These are two distinct and contradictory answers for the inventor.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Niccolò de' Niccoli	"```json\n{\n  ""answer_1"": ""Cursive script"",\n  ""answer_2"": ""Niccolò de' Niccoli""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
mintaka	google-gemini-2-5-pro	9ac70118	0	0	How old was the youngest U.S. president when he died?	46	60		The prediction '60' is numerically different from the gold answer '46'. The difference (14) is outside the allowed numeric tolerance for ages, which is 1-5.5 percentage points. 14/46 is approximately 30.4%, which is well outside the tolerance.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	60	"```json\n""intermediate_answers"": {\n  ""answer_1"": ""The"	possible_gold_error_or_ambiguity	Frontier open-ended answers agree (2/3) on '60' vs gold; could be gold error/ambiguity or shared model misconception.
crag	google-gemini-2-5-pro	ba92e6b9-fcd3-4ff7-899a-fe59dbb2c8db	0	1	what weight class is the ufc number one men's pound for pound fighter in?	islam makhachev, the number one men's pound for pound fighter in the ufc, fights at lightweight.	Featherweight	Featherweight	The gold answer states the fighter is in 'lightweight', while the prediction states 'Featherweight'. These are different weight classes, leading to a contradiction.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nFeatherweight	"```json\n{\n  ""intermediate_answers"": {\n    ""answer_1"": ""Alexander Volkanovski"",\n    ""answer_2"": ""Featherweight""\n  }\n}\n```"	time_dependent	UFC pound-for-pound #1 changes across updates (e.g., Makhachev vs Volkanovski), which also changes the weight class. Models answer Featherweight while gold anchors Lightweight.
hotpotqa	google-gemini-2-5-pro	5ae27edc5542992decbdcd2d	0	1	Jake David Shapiro was best know for being the screenwriter of a film directed by who?	Roger Christian	Mel Brooks	Mel Brooks	The gold answer states the director was 'Roger Christian', while the prediction states 'Mel Brooks'. These are two different individuals, leading to a contradiction.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Mel Brooks	"```json\n{\n  ""answer_1"": ""Robin Hood: Men in Tights"",\n  ""answer_2"": ""Mel Brooks""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
mintaka	google-gemini-2-5-pro	249c69f3	0	1	Who was the wife of the 21st president?	Eliza Johnson	Ellen Lewis Herndon Arthur	Ellen Lewis Herndon Arthur	The prediction 'Ellen Lewis Herndon Arthur' is a different name from the gold answer 'Eliza Johnson'. Therefore, the prediction does not communicate the same essential fact as the gold answer.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nEllen Lewis Herndon Arthur	"```json\n{\n  ""answer_1"": ""Chester A. Arthur"",\n  ""answer_2"": ""Ellen Lewis Herndon Arthur""\n}\n```"	likely_gold_error	21st US president is Chester A. Arthur; his wife was Ellen Lewis Herndon Arthur (models). Gold gives Eliza Johnson (Andrew Johnson’s wife).
crag	google-gemini-2-5-pro	90d5a2d9-2973-4e6b-affe-76af6c7d943e	1	1	what's the most recent album from the puerto rican artist that's been in wwe?	nadie sabe lo que va a pasar mañana	Un Verano Sin Ti	Un Verano Sin Ti	The prediction 'Un Verano Sin Ti' is a different album title than the gold answer 'nadie sabe lo que va a pasar mañana'. They are not equivalent.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Un Verano Sin Ti	"```json\n{\n  ""answer_1"": ""Bad Bunny"",\n  ""answer_2"": ""Un Verano Sin Ti""\n}\n```"	time_dependent	Time-relative phrasing ('most recent'); gold likely tied to a specific snapshot.
hotpotqa	google-gemini-2-5-pro	5abd7ca05542993062266cab	0	1	Where is the company that purchased Aixam based in?	Roseau, Minnesota, USA	Medina, Minnesota	Medina, Minnesota	The prediction states 'Medina, Minnesota' while the gold answer specifies 'Roseau, Minnesota, USA'. The cities (Medina vs. Roseau) are different, leading to a contradiction on the specific location.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Medina, Minnesota	"```json\n{\n  ""answer_1"": ""Polaris Inc."",\n  ""answer_2"": ""Medina, Minnesota""\n}\n```"	ambiguous_location(HQ_vs_facility)	Gold Roseau, MN vs models Medina, MN suggests a 'headquarters vs operations' mismatch (Medina is a common HQ location for large MN firms).
mintaka	google-gemini-2-5-pro	863655c5	0	0	"What is the population of the country where the ""Spanish Steps"" are located?"	4.2 million	59,037,474	58983122	The gold answer is 4.2 million (4,200,000) and the prediction is 59,037,474. These values are significantly different and fall outside the allowed numeric tolerance for naturally drifting values (1-5.5 percentage-point window). The absolute difference is 54,837,474, which is much larger than 1% of the gold value (42,000).	1	Numeric values for population are within the 5.5 percentage-point tolerance for values that drift over time. (0.09% difference)	equivalent: 1\nreasoning: Numeric values for population are within the 5.5 percentage-point tolerance for values that drift over time. (0.09% difference)	answer:\n59,037,474	"```json\n{\n  ""answer_1"": ""Italy"",\n  ""answer_2"": ""58983122""\n}\n```"	likely_gold_error(scope_mismatch)	Spanish Steps are in Italy; models give Italy’s population (~60M). Gold 4.2M matches a city-scale value (Rome) rather than the country.
crag	google-gemini-2-5-pro	470ed1c7-8a71-4c0c-9be8-bb1fe82ce59f	0	1	what is the elevation of the capital of ohio?	238 m	902 ft	902 ft	The gold answer is 238 m. Converting this to feet: 238 m * 3.28084 ft/m = 780.84 ft. The prediction is 902 ft. The difference between 902 ft and 780.84 ft is 121.16 ft. The allowed tolerance is max(0.5, 1% of 780.84) = 7.81 ft. Since 121.16 ft is greater than 7.81 ft, the prediction is outside the acceptable numeric tolerance.	1	Answer A provides extra detail (the name of the capital) which is consistent with the question and does not contradict the core fact (the elevation). Both answers state the elevation as 902 ft.	equivalent: 1\nreasoning: Answer A provides extra detail (the name of the capital) which is consistent with the question and does not contradict the core fact (the elevation). Both answers state the elevation as 902 ft.	answer:\n902 ft	"```json\n{\n  ""intermediate_answers"": {\n    ""answer_1"": ""Columbus"",\n    ""answer_2"": ""902 ft""\n  }\n}\n```"	possible_gold_error_or_ambiguity	Frontier open-ended answers agree (2/3) on '902 ft' vs gold; could be gold error/ambiguity or shared model misconception.
hotpotqa	google-gemini-2-5-pro	5a82171f5542990a1d231f4a	0	0	 What nationality was James Henry Miller's wife?	American	English; American	American	The gold answer states the nationality was 'American'. The prediction includes 'American' but also adds 'English'. If the gold answer 'American' is the complete and correct nationality, then adding 'English' is a contradiction or an incorrect additional fact, as it implies another nationality that is not supported by the gold. Rule 7 states that if any part of the prediction contradicts the gold fact on the same detail, it is incorrect.	1	Answer A matches one of the alternatives in Answer B (American).	equivalent: 1\nreasoning: Answer A matches one of the alternatives in Answer B (American).	English; American	"```json\n{\n  ""answer_1"": ""Peggy Seeger"",\n  ""answer_2"": ""American""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
mintaka	google-gemini-2-5-pro	13cd720a	0	1	What is the capital of the largest country in Europe?	Paris	Moscow	Moscow	The gold answer states the capital is 'Paris', while the prediction states it is 'Moscow'. These are two different cities, leading to a direct contradiction.	1	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	answer:\nMoscow	"intermediate_answers:\n{\n  ""answer_1"": ""Russia"",\n  ""answer_2"": ""Moscow""\n}"	ambiguous_scope(Europe_vs_EU)	If interpreted as Europe (continent), largest country is Russia → capital Moscow (models). Gold Paris may reflect largest EU country (France) or another scope.
crag	google-gemini-2-5-pro	d5124253-4271-40b5-986b-dd3021ab828e	1	1	who was the winner of the wimbledon women's singles tournament this year?	marketa vondrousova, who is coached by jiri hrebec and jan hernych, won the wimbledon women's singles tournament this year.	Elena Rybakina	Elena Rybakina	The gold answer states the winner was 'Marketa Vondrousova', while the prediction states 'Elena Rybakina'. These are different individuals, leading to a direct contradiction of the core fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nElena Rybakina	"```json\n{\n  ""intermediate_answers"": {\n    ""answer_1"": ""2022"",\n    ""answer_2"": ""Elena Rybakina""\n  }\n}\n```"	time_dependent	Wimbledon winner depends on year; gold corresponds to one year and models to another.
hotpotqa	google-gemini-2-5-pro	5ac13d745542991316484a91	0	1	What comic book published the female superhero created by J. H. Williams III?	DC Comics	Promethea	Promethea	The question asks for the publisher of the comic book, and the gold answer 'DC Comics' correctly identifies the publisher. The prediction 'Promethea' is the name of the comic book series itself, not the publisher, thus it does not answer the question.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Promethea	"```json\n{\n  ""answer_1"": ""Promethea"",\n  ""answer_2"": ""Promethea""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
